island,region_order,sheet,plant_range,plant_id,corolla_id,cx,cy,corolla_len_mm,corolla_width_mm,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude
Toshima,2,toshima2~3,2-3,,5,840,1427,21.0,18.54,251.7,28.42,11.29,79,31.39,0.943,1,0.002,0,3.58,15.27,6,0.813,1.11,
Toshima,2,toshima2~3,2-3,,6,1256,1451,37.34,23.96,696.8,135.83,19.49,241,34.59,0.943,1,0.056,0,6.76,24.6,5,0.933,1.51,
Toshima,2,toshima2~3,2-3,,7,1702,1483,44.2,24.13,786.0,70.04,8.91,117,14.89,0.841,1,0.069,0,5.85,38.26,4,0.904,1.64,
Toshima,2,toshima2~3,2-3,,8,307,1846,42.42,23.28,656.2,54.78,8.35,226,34.44,0.868,1,0.035,0,13.69,23.74,3,0.82,1.76,
Toshima,2,toshima2~3,2-3,,9,856,1838,36.58,25.65,667.1,80.57,12.08,189,28.33,0.854,1,0.022,0,7.28,25.12,5,0.91,1.41,
Toshima,2,toshima2~3,2-3,,10,1407,1936,29.38,24.21,492.3,4.72,0.96,31,6.3,0.844,1,0.023,0,12.77,23.14,3,0.902,1.23,
Toshima,2,toshima2~3,2-3,,11,51,2043,19.9,7.28,91.3,0.0,0.0,0,0.0,,0,0.0,0,2.18,6.27,4,0.886,2.8,
Toshima,2,toshima2~3,2-3,,12,360,2328,33.7,27.94,518.2,9.38,1.81,40,7.72,0.877,1,0.093,0,6.87,17.6,4,0.678,1.01,
Toshima,2,toshima2~3,2-3,,13,931,2299,33.44,28.02,583.7,2.27,0.39,21,3.6,0.772,0,0.053,0,5.66,11.78,4,0.804,1.14,
Toshima,2,toshima2~3,2-3,,14,1388,2386,31.58,26.16,541.9,9.82,1.81,58,10.7,0.823,1,0.032,0,13.74,19.59,3,0.889,1.14,
Toshima,2,toshima2~3,2-3,,15,330,2776,32.09,25.65,599.0,3.52,0.59,33,5.51,0.815,1,0.039,0,15.58,26.79,3,0.879,1.22,
Toshima,2,toshima2~3,2-3,,16,883,2776,31.5,33.61,711.6,13.35,1.88,50,7.03,0.771,1,0.03,0,8.65,16.05,7,0.74,1.04,
Toshima,2,toshima2~3,2-3,,17,1329,2769,36.07,26.5,579.6,9.03,1.56,56,9.66,0.962,1,0.069,0,11.75,21.86,3,0.862,1.31,
Toshima,2,toshima3~6,3-6,,1,563,273,28.79,22.94,494.1,15.15,3.07,80,16.19,0.873,1,0.202,1,6.6,24.66,4,0.909,1.26,
Toshima,2,toshima3~6,3-6,,2,1117,253,30.06,19.9,432.3,41.0,9.48,81,18.74,0.994,1,0.02,0,5.96,20.71,4,0.841,1.44,
Toshima,2,toshima3~6,3-6,,3,1556,262,35.31,21.08,546.2,52.55,9.62,103,18.86,0.882,1,0.018,0,5.71,29.43,5,0.925,1.57,
Toshima,2,toshima3~6,3-6,,4,494,685,38.1,25.57,781.0,4.34,0.56,33,4.23,0.982,1,0.023,0,5.9,33.57,8,0.935,1.48,
Toshima,2,toshima3~6,3-6,,5,922,729,41.57,32.85,751.2,7.9,1.05,73,9.72,0.637,1,0.013,0,3.96,29.52,4,0.787,1.16,
Toshima,2,toshima3~6,3-6,,6,1555,776,34.21,27.43,589.3,2.24,0.38,24,4.07,0.799,0,0.012,0,7.44,26.07,5,0.829,1.11,
Toshima,2,toshima3~6,3-6,,7,394,1212,36.91,31.33,826.1,6.14,0.74,52,6.29,0.931,1,0.068,0,6.25,31.99,5,0.85,1.11,
Toshima,2,toshima3~6,3-6,,8,929,1247,36.83,33.02,687.4,27.08,3.94,91,13.24,0.848,1,0.021,0,15.42,19.72,3,0.719,1.1,
Toshima,2,toshima3~6,3-6,,9,1435,1292,33.44,27.52,689.1,49.48,7.18,97,14.08,0.957,1,0.006,0,7.11,30.17,4,0.915,1.18,
Toshima,2,toshima3~6,3-6,,10,819,1719,21.0,14.48,229.4,0.0,0.0,0,0.0,,0,0.0,0,8.35,17.47,2,0.931,1.29,
Toshima,2,toshima3~6,3-6,,11,1399,1726,42.5,25.57,728.0,0.04,0.01,1,0.14,,0,0.0,0,7.2,33.36,4,0.796,1.5,
Toshima,2,toshima3~6,3-6,,12,414,2125,24.3,17.53,349.8,56.22,16.07,77,22.01,0.899,1,0.129,1,5.34,13.17,6,0.93,1.39,
Toshima,2,toshima3~6,3-6,,13,753,2136,29.46,25.48,383.1,16.47,4.3,95,24.8,0.85,1,0.019,0,2.43,24.27,4,0.733,1.15,
Toshima,2,toshima3~6,3-6,,14,1159,2099,31.67,24.13,473.3,2.87,0.61,23,4.86,0.981,1,0.128,1,5.28,26.06,4,0.778,1.08,
Toshima,2,toshima3~6,3-6,,15,1539,2127,25.82,21.84,421.6,6.08,1.44,33,7.83,0.924,1,0.028,0,5.85,18.22,6,0.941,1.17,
Toshima,2,toshima6~8,6-8,,1,1527,273,72.39,39.96,2450.0,11.69,0.48,48,1.96,0.996,0,0.0,0,15.42,20.03,1,0.903,1.02,
Toshima,2,toshima6~8,6-8,,2,318,1129,28.19,21.59,430.1,120.88,28.1,131,30.46,0.937,1,0.019,0,6.23,18.21,4,0.897,1.18,
Toshima,2,toshima6~8,6-8,,3,765,1131,35.05,26.84,451.0,120.83,26.79,88,19.51,0.676,1,0.027,0,3.58,20.93,7,0.641,1.27,
Toshima,2,toshima6~8,6-8,,4,1306,1028,38.69,25.99,742.4,44.05,5.93,91,12.26,0.998,1,0.056,0,5.15,30.94,4,0.888,1.43,
Toshima,2,toshima6~8,6-8,,5,235,1565,29.63,18.97,425.1,40.37,9.5,124,29.17,0.989,1,0.036,0,11.86,25.66,3,0.876,1.55,
Toshima,2,toshima6~8,6-8,,6,1260,1577,39.54,30.73,752.2,75.8,10.08,109,14.49,0.953,1,0.017,0,12.5,31.76,3,0.855,1.07,
Toshima,2,toshima6~8,6-8,,7,784,1606,30.06,22.94,485.2,102.39,21.1,118,24.32,0.963,1,0.004,0,7.2,23.15,5,0.902,1.22,
Toshima,2,toshima6~8,6-8,,8,280,2038,27.69,21.93,362.4,43.74,12.07,49,13.52,0.847,1,0.004,0,12.45,9.27,3,0.865,1.17,
Toshima,2,toshima6~8,6-8,,9,733,2034,29.46,23.62,560.2,55.62,9.93,70,12.5,0.911,1,0.013,0,6.66,25.81,7,0.922,1.24,
Toshima,2,toshima6~8,6-8,,10,1275,2068,34.21,27.43,662.9,33.71,5.09,125,18.86,0.923,1,0.02,0,6.74,29.03,4,0.898,1.23,
Toshima,2,toshima6~8,6-8,,11,858,2518,35.64,29.29,706.7,3.06,0.43,36,5.09,0.912,0,0.051,0,6.76,29.04,4,0.838,1.2,
Toshima,2,toshima6~8,6-8,,12,338,2699,71.63,39.88,1481.1,10.67,0.72,88,5.94,0.798,1,0.036,0,10.13,25.95,6,0.644,1.77,
Toshima,2,toshima6~8,6-8,,13,1549,2760,71.63,32.6,1576.7,40.64,2.58,174,11.04,0.928,1,0.022,0,5.82,31.27,2,0.706,2.14,
Toshima,2,toshima6~8,6-8,,14,801,2965,35.73,27.26,821.7,6.49,0.79,43,5.23,0.838,1,0.006,0,16.55,30.11,1,0.966,1.36,
Toshima,2,toshima6~8,6-8,,15,1286,2947,30.73,25.91,517.2,0.67,0.13,3,0.58,0.345,0,0.0,0,7.87,21.72,5,0.796,1.12,
