island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Oshima,oshima4,1,132,752.0,865.74,0.2437,0.5571,mixed,0.971,7.618,8.0,0.0,,
Oshima,oshima4,1,133,663.9,867.18,0.7527,0.979,mixed,0.943,8.924,9.0,0.0,,
Oshima,oshima4,1,134,650.67,867.33,0.0645,0.2866,strong,1.0,8.333,8.0,0.0,,
Oshima,oshima4,1,135,654.4,868.2,0.0358,0.2136,mixed,0.8,4.4,4.0,0.0,,
Oshima,oshima4,1,136,768.92,868.84,0.7455,0.9743,mixed,0.933,10.952,11.0,0.0,,
Oshima,oshima4,1,137,841.61,869.06,0.129,0.4053,mixed,0.944,4.222,4.0,0.0,,
Oshima,oshima4,1,138,861.17,869.14,0.4229,0.7338,mixed,0.932,7.559,8.0,0.0,,
Oshima,oshima4,1,139,631.7,869.44,0.552,0.8383,mixed,0.935,8.429,8.0,0.0,,
Oshima,oshima4,1,140,606.57,870.29,1.5484,1.4041,mixed,0.903,8.718,8.0,0.0,,
Oshima,oshima4,1,141,677.21,871.5,0.4158,0.7276,mixed,0.862,8.328,8.5,0.0,,
Oshima,oshima4,1,142,718.78,871.88,0.7742,0.9928,mixed,0.981,9.093,9.0,0.0,,
Oshima,oshima4,1,143,752.0,873.5,0.0143,0.1351,mixed,0.5,1.5,1.5,0.0,,
Oshima,oshima4,1,144,691.24,874.59,0.3656,0.6823,mixed,0.961,9.078,9.0,0.0,,
Oshima,oshima4,1,145,818.91,875.18,0.0789,0.3169,strong,1.0,6.909,7.0,0.0,,
Oshima,oshima4,1,146,834.67,875.33,0.0215,0.1655,mixed,0.667,3.0,4.0,0.0,,
Oshima,oshima4,1,147,802.48,875.84,0.1792,0.4777,mixed,0.88,6.96,6.0,0.0,,
Oshima,oshima4,1,148,758.76,876.04,0.1792,0.4777,mixed,0.92,7.76,9.0,0.0,,
Oshima,oshima4,1,149,741.0,876.28,0.6667,0.9213,mixed,0.957,8.602,8.0,0.0,,
Oshima,oshima4,1,150,682.13,880.4,0.1075,0.37,mixed,0.867,5.6,6.0,0.0,,
Oshima,oshima4,1,151,652.75,881.25,0.0287,0.1911,strong,1.0,9.0,10.0,0.0,,
Oshima,oshima4,1,152,840.57,882.59,0.7097,0.9506,mixed,0.949,8.162,8.0,0.0,,
Oshima,oshima4,1,153,708.48,883.0,0.638,0.9013,mixed,0.966,8.438,8.0,0.0,,
Oshima,oshima4,1,154,736.27,883.47,0.1075,0.37,mixed,0.867,6.0,4.0,0.0,,
Oshima,oshima4,1,155,779.5,884.0,0.0143,0.1351,strong,1.0,6.0,6.0,0.0,,
Oshima,oshima4,1,156,881.52,886.52,0.3441,0.6619,mixed,0.917,8.021,7.5,0.0,,
Oshima,oshima4,1,157,821.69,886.74,0.2509,0.5652,strong,1.0,6.429,5.0,0.0,,
Oshima,oshima4,1,158,746.98,887.9,0.2867,0.6042,mixed,0.925,8.325,8.0,0.0,,
Oshima,oshima4,1,159,669.56,888.5,0.5878,0.8651,strong,1.0,9.134,9.0,0.0,,
Oshima,oshima4,1,160,723.88,889.09,0.2366,0.5488,mixed,0.909,7.909,8.0,0.0,,
Oshima,oshima4,1,161,695.79,889.85,0.3369,0.655,mixed,0.957,10.106,10.0,0.0,,
Oshima,oshima4,1,162,862.1,892.05,0.8244,1.0245,mixed,0.948,7.339,8.0,0.0,,
Oshima,oshima4,1,163,772.33,892.33,0.0215,0.1655,mixed,0.333,1.333,1.0,0.0,,
Oshima,oshima4,1,164,805.87,892.65,0.1649,0.4582,mixed,0.87,7.13,6.0,0.0,,
Oshima,oshima4,1,165,631.54,894.64,0.4946,0.7936,mixed,0.971,9.377,10.0,0.0,,
Oshima,oshima4,1,166,818.75,896.0,0.0287,0.1911,mixed,0.5,2.0,1.5,0.0,,
Oshima,oshima4,1,167,758.26,896.06,0.2509,0.5652,mixed,0.914,7.057,5.0,0.0,,
Oshima,oshima4,1,168,794.28,897.87,0.3297,0.648,mixed,0.957,8.087,8.5,0.0,,
Oshima,oshima4,1,169,652.36,898.91,0.0789,0.3169,strong,1.0,10.182,11.0,0.0,,
Oshima,oshima4,1,170,679.76,899.0,0.2366,0.5488,mixed,0.909,8.636,8.0,0.0,,
Oshima,oshima4,1,171,665.75,900.0,0.1147,0.3821,mixed,0.938,8.938,10.5,0.0,,
Oshima,oshima4,1,172,606.92,900.69,4.3441,2.3518,mixed,0.934,9.155,10.0,0.0,check,
Oshima,oshima4,1,173,692.5,901.0,0.0143,0.1351,strong,1.0,5.0,5.0,0.0,,
Oshima,oshima4,1,174,844.0,901.0,0.0215,0.1655,strong,1.0,7.0,6.0,0.0,,
Oshima,oshima4,1,175,828.54,901.18,0.4373,0.7462,mixed,0.951,6.984,7.0,0.0,,
Oshima,oshima4,1,176,711.0,901.9,0.2079,0.5145,mixed,0.931,8.345,10.0,0.0,,
Oshima,oshima4,1,177,736.23,904.84,2.2581,1.6956,mixed,0.968,8.502,8.0,0.0,,
Oshima,oshima4,1,178,854.5,906.0,0.0143,0.1351,strong,1.0,4.5,4.5,0.0,,
Oshima,oshima4,1,179,643.0,906.14,0.1004,0.3575,strong,1.0,9.571,12.5,0.0,,
Oshima,oshima4,1,180,867.0,907.71,0.0502,0.2528,strong,1.0,6.857,7.0,0.0,,
Oshima,oshima4,1,181,814.52,908.39,0.3297,0.648,mixed,0.935,7.609,7.5,0.0,,
Oshima,oshima4,1,182,660.5,910.5,0.0287,0.1911,strong,1.0,12.5,13.5,0.0,,
Oshima,oshima4,1,183,685.0,910.5,0.0717,0.3021,mixed,0.8,6.1,4.0,0.0,,
Oshima,oshima4,1,184,796.67,911.0,0.0215,0.1655,mixed,0.333,1.333,1.0,0.0,,
Oshima,oshima4,1,185,621.85,911.06,0.3369,0.655,mixed,0.957,9.021,9.0,0.0,,
Oshima,oshima4,1,186,772.87,911.25,0.4516,0.7583,mixed,0.937,7.238,6.0,0.0,,
Oshima,oshima4,1,187,825.32,913.13,0.2222,0.5319,mixed,0.903,4.742,5.0,0.0,,
Oshima,oshima4,1,188,879.32,913.23,0.1577,0.4481,mixed,0.818,4.227,4.0,0.0,,
Oshima,oshima4,1,189,847.95,915.21,0.4373,0.7462,mixed,0.918,7.869,8.0,0.0,,
Oshima,oshima4,1,190,703.92,919.25,0.086,0.3309,mixed,0.833,7.5,8.0,0.0,,
Oshima,oshima4,1,191,691.0,923.0,0.0502,0.2528,strong,1.0,7.143,7.0,0.0,,
Oshima,oshima4,1,192,672.62,923.5,0.1147,0.3821,mixed,0.938,9.375,8.0,0.0,,
Oshima,oshima4,1,193,869.5,924.0,0.0143,0.1351,strong,1.0,2.5,2.5,0.0,,
Oshima,oshima4,1,194,712.04,924.04,0.1792,0.4777,mixed,0.92,7.44,7.0,0.0,,
Oshima,oshima4,1,195,736.15,924.93,1.1183,1.1932,mixed,0.942,8.128,8.0,0.0,,
Oshima,oshima4,1,196,662.25,925.0,0.0287,0.1911,strong,1.0,11.5,13.5,0.0,,
