date,island,no,lat,lon,id,collar,organ,status,sheet,sheet_corolla_id,fold_state,corolla_length_mm,corolla_width_obs_mm,corolla_area_obs_mm2,corolla_width_fulleq_mm,corolla_area_fulleq_mm2,roi_source,match_iou,has_nectar_guide,guide_coverage_pct,organ_length_mm,qc_flag,throat_width_mm,mouth_width_mm,corolla_aspect_L_W,tube_flare_W_throat,lobe_incision_mm,lobe_incision_ratio,organ_corolla_ratio,organ_status_check
2026.7.5,oshima,14,34.7697,139.35234,3,83,83,s,oshima13-15,8,folded_half,41.99,28.62,1029.3,57.24,2058.6,iphone,0.878,1,28.67,28.47,,33.61,56.05,0.73,1.7,5.62,0.13,0.68,
2026.7.5,oshima,14,34.7697,139.35234,3,84,84,s,oshima13-15,9,folded_half,42.08,32.17,1099.0,64.34,2198.0,iphone,0.933,1,22.87,28.07,,38.69,63.16,0.65,1.66,4.52,0.11,0.67,
2026.7.5,oshima,15,34.76532,139.34987,1,85,85,p,oshima13-15,10,folded_half,47.92,27.52,1034.3,55.04,2068.6,iphone,0.916,1,2.85,24.4,,33.95,52.32,0.87,1.62,6.52,0.14,0.51,
2026.7.5,oshima,15,34.76532,139.34987,1,86,86,p,oshima13-15,11,folded_half,48.68,31.16,1145.8,62.32,2291.6,iphone,0.925,1,4.56,26.6,,34.88,60.03,0.78,1.79,6.94,0.14,0.55,
2026.7.5,oshima,15,34.76532,139.34987,2,87,87,p,oshima13-15,12,folded_half,44.11,30.73,1078.2,61.46,2156.4,iphone,0.928,1,2.72,24.45,,32.34,61.89,0.72,1.9,6.08,0.14,0.55,
2026.7.5,oshima,15,34.76532,139.34987,2,88,88,s,oshima13-15,13,folded_half,42.5,29.72,1013.7,59.44,2027.4,iphone,0.922,1,6.3,27.5,,31.5,56.9,0.72,1.89,5.23,0.12,0.65,
2026.7.6,toshima,1,34.53122,139.27763,1,89,89,s,toshima1-2,1,folded_half,27.94,18.12,451.0,36.24,902.0,iphone,0.916,1,3.66,15.38,,30.73,34.37,0.77,1.18,3.97,0.14,0.55,
2026.7.6,toshima,1,34.53122,139.27763,1,90,90,s,toshima1-2,2,folded_half,24.38,15.83,320.5,31.66,641.0,iphone,0.943,1,3.18,16.39,,21.67,30.14,0.77,1.46,2.65,0.11,0.67,
2026.7.6,toshima,1,34.53122,139.27763,2,91,91,p,toshima1-2,3,folded_half,28.53,19.98,456.9,39.96,913.8,iphone,0.91,0,0.13,19.41,,28.11,39.29,0.71,1.42,3.0,0.11,0.68,
2026.7.6,toshima,1,34.53122,139.27763,2,92,92,s,toshima1-2,4,folded_half,29.29,17.61,426.2,35.22,852.4,iphone,0.939,1,1.09,18.21,,27.09,34.54,0.83,1.3,5.33,0.18,0.62,
2026.7.6,toshima,1,34.53122,139.27763,3,93,93,p,toshima1-2,5,folded_half,25.4,16.26,333.9,32.52,667.8,iphone,0.91,1,0.65,16.3,,22.35,32.0,0.78,1.45,2.88,0.11,0.64,
2026.7.6,toshima,1,34.53122,139.27763,4,94,94,s,toshima1-2,6,folded_half,28.36,20.66,479.6,41.32,959.2,iphone,0.925,1,1.31,16.9,,26.42,39.96,0.69,1.56,3.3,0.12,0.6,
2026.7.6,toshima,1,34.53122,139.27763,5,95,95,p,toshima1-2,7,folded_half,31.75,23.11,537.6,46.22,1075.2,iphone,0.936,1,4.51,18.42,,31.16,42.59,0.69,1.48,4.74,0.15,0.58,
2026.7.6,toshima,1,34.53122,139.27763,6,96,96,s,toshima1-2,8,folded_half,24.21,18.97,377.0,37.94,754.0,iphone,0.945,1,8.59,17.27,,28.53,35.14,0.64,1.33,3.3,0.14,0.71,
2026.7.6,toshima,1,34.53122,139.27763,7,97,97,s,toshima1-2,9,folded_half,30.48,20.66,490.9,41.32,981.8,iphone,0.944,1,4.36,16.33,,26.25,39.62,0.74,1.57,3.06,0.1,0.54,
2026.7.6,toshima,1,34.53122,139.27763,7,98,98,s,toshima1-2,10,folded_half,32.17,26.33,747.5,52.66,1495.0,iphone,0.899,1,4.98,20.26,,37.08,49.95,0.61,1.42,6.01,0.19,0.63,
2026.7.6,toshima,1,34.53122,139.27763,8,99,99,s,toshima1-2,11,folded_half,32.43,23.2,617.8,46.4,1235.6,iphone,0.852,1,1.26,18.92,,28.62,45.64,0.7,1.62,5.06,0.16,0.58,
2026.7.6,toshima,2,34.53157,139.27893,1,100,100,s,toshima1-2,12,folded_half,26.84,18.8,392.7,37.6,785.4,iphone,0.934,1,0.58,18.17,,24.13,36.91,0.71,1.56,3.73,0.14,0.68,
2026.7.6,toshima,2,34.53157,139.27893,2,101,101,s,toshima1-2,13,folded_half,33.1,24.13,579.6,48.26,1159.2,iphone,0.92,1,0.29,18.31,,26.75,46.74,0.69,1.8,6.94,0.21,0.55,
2026.7.6,toshima,2,34.53157,139.27893,2,102,102,s,toshima1-2,14,folded_half,24.64,21.25,408.5,42.5,817.0,iphone,0.828,1,0.4,14.54,,23.03,42.16,0.58,1.85,3.3,0.13,0.59,
2026.7.6,toshima,2,34.53157,139.27893,4,103,103,p,toshima1-2,15,folded_half,32.0,28.28,692.3,56.56,1384.6,iphone,0.95,0,0.04,20.87,,26.33,55.37,0.57,2.15,2.46,0.08,0.65,
