sheet,corolla_id,iphone_file,match_iou,corolla_length_mm,corolla_width_obs_mm,corolla_area_obs_mm2,corolla_width_fulleq_mm,corolla_area_fulleq_mm2,fold_state
shikine1,6,118.JPG,0.523,43.1,55.71,1304.7,55.71,1304.7,opened_full
toshima1-2,1,HEIF画像.heic,0.916,27.94,18.12,451.0,36.24,901.9,folded_half
toshima1-2,2,HEIF画像 2.heic,0.943,24.38,15.83,320.5,31.67,640.9,folded_half
toshima1-2,3,HEIF画像 6.heic,0.91,28.53,19.98,456.9,39.96,913.9,folded_half
toshima1-2,4,HEIF画像 4.heic,0.939,29.29,17.61,426.2,35.22,852.3,folded_half
toshima1-2,5,HEIF画像 5.heic,0.91,25.4,16.26,333.9,32.51,667.8,folded_half
toshima1-2,6,HEIF画像 11.heic,0.925,28.36,20.66,479.6,41.32,959.3,folded_half
toshima1-2,7,HEIF画像 7.heic,0.936,31.75,23.11,537.6,46.23,1075.2,folded_half
toshima1-2,8,HEIF画像 8.heic,0.945,24.21,18.97,377.0,37.93,754.0,folded_half
toshima1-2,9,HEIF画像 9.heic,0.944,30.48,20.66,490.9,41.32,981.8,folded_half
toshima1-2,10,HEIF画像 10.heic,0.899,32.17,26.33,747.5,52.66,1494.9,folded_half
toshima1-2,11,HEIF画像 3.heic,0.852,32.43,23.2,617.8,46.4,1235.6,folded_half
toshima1-2,12,HEIF画像 12.heic,0.934,26.84,18.8,392.7,37.59,785.3,folded_half
toshima1-2,13,HEIF画像 13.heic,0.92,33.1,24.13,579.6,48.26,1159.2,folded_half
toshima1-2,14,HEIF画像 16.heic,0.828,24.64,21.25,408.5,42.5,816.9,folded_half
toshima1-2,15,HEIF画像 15.heic,0.95,32.0,28.28,692.3,56.56,1384.5,folded_half
toshima1-2,16,HEIF画像 17.heic,0.87,26.67,24.47,496.9,48.94,993.7,folded_half
toshima1-2,17,HEIF画像 14.heic,0.923,28.19,26.5,575.6,53.0,1151.2,folded_half
toshima2-3,1,HEIF画像 5.heic,0.931,29.04,22.86,561.4,45.72,1122.7,folded_half
toshima2-3,2,HEIF画像 2.heic,0.912,33.78,24.21,658.7,48.43,1317.5,folded_half
toshima2-3,3,HEIF画像 10.heic,0.805,30.48,22.61,533.0,45.21,1066.1,folded_half
toshima2-3,4,HEIF画像 4.heic,0.948,21.76,18.46,302.4,36.91,604.9,folded_half
toshima2-3,5,HEIF画像.heic,0.915,19.47,15.41,242.7,30.82,485.3,folded_half
toshima2-3,6,HEIF画像 6.heic,0.92,34.12,22.69,637.7,45.38,1275.5,folded_half
toshima2-3,7,HEIF画像 7.heic,0.903,33.36,22.18,633.4,44.37,1266.9,folded_half
toshima2-3,8,HEIF画像 8.heic,0.92,36.15,22.94,655.1,45.89,1310.1,folded_half
toshima2-3,9,HEIF画像 9.heic,0.887,34.54,24.55,643.9,49.11,1287.9,folded_half
toshima2-3,10,HEIF画像 15.heic,0.914,28.19,22.78,508.1,45.55,1016.2,folded_half
toshima2-3,11,HEIF画像 11.heic,0.903,27.6,21.34,422.4,42.67,844.8,folded_half
toshima2-3,12,HEIF画像 14.heic,0.874,28.36,24.13,523.7,48.26,1047.4,folded_half
toshima2-3,13,HEIF画像 12.heic,0.902,28.11,24.13,501.5,48.26,1003.0,folded_half
toshima2-3,14,HEIF画像 13.heic,0.896,30.65,25.06,592.4,50.12,1184.8,folded_half
toshima2-3,15,HEIF画像 3.heic,0.928,32.85,25.99,637.3,51.99,1274.5,folded_half
toshima2-3,16,HEIF画像 16.heic,0.922,30.06,24.89,584.3,49.78,1168.6,folded_half
toshima3-6,1,HEIF画像 7.heic,0.928,24.72,22.01,457.2,44.03,914.4,folded_half
toshima3-6,2,HEIF画像 2.heic,0.91,27.43,19.9,432.4,39.79,864.8,folded_half
toshima3-6,3,HEIF画像 3.heic,0.93,21.0,16.68,291.9,33.36,583.8,folded_half
toshima3-6,4,HEIF画像 4.heic,0.917,24.72,17.53,351.0,35.05,702.1,folded_half
toshima3-6,5,HEIF画像 5.heic,0.892,26.92,41.57,729.9,41.57,729.9,opened_full
toshima3-6,6,HEIF画像 6.heic,0.926,19.13,15.58,243.6,31.16,487.2,folded_half
toshima3-6,7,HEIF画像.heic,0.856,32.26,26.42,676.8,52.83,1353.7,folded_half
toshima3-6,8,HEIF画像 8.heic,0.928,32.43,25.91,612.7,51.82,1225.4,folded_half
toshima3-6,9,HEIF画像 9.heic,0.911,35.73,26.16,760.6,52.32,1521.2,folded_half
toshima3-6,10,HEIF画像 10.heic,0.939,31.07,23.45,538.9,46.91,1077.9,folded_half
toshima3-6,11,HEIF画像 11.heic,0.96,31.33,27.18,701.9,54.36,1403.9,folded_half
toshima3-6,12,HEIF画像 12.heic,0.952,34.46,26.08,760.1,52.15,1520.3,folded_half
toshima3-6,13,HEIF画像 13.heic,0.935,31.07,19.56,515.3,39.12,1030.6,folded_half
toshima3-6,14,HEIF画像 14.heic,0.94,26.84,18.46,419.3,36.91,838.6,folded_half
toshima3-6,15,HEIF画像 15.heic,0.954,28.45,22.94,498.6,45.89,997.1,folded_half
toshima6-8,1,HEIF画像.heic,0.892,26.67,21.51,445.6,43.01,891.3,folded_half
toshima6-8,2,HEIF画像 16.heic,0.897,25.82,21.67,437.4,43.35,874.7,folded_half
toshima6-8,3,HEIF画像 3.heic,0.946,26.92,38.61,747.3,38.61,747.3,opened_full
toshima6-8,4,HEIF画像 4.heic,0.933,26.59,19.3,424.3,38.61,848.6,folded_half
toshima6-8,5,HEIF画像 5.heic,0.926,28.11,23.11,524.2,46.23,1048.5,folded_half
toshima6-8,6,HEIF画像 6.heic,0.924,32.51,24.72,679.8,49.45,1359.7,folded_half
toshima6-8,7,HEIF画像 9.heic,0.898,28.96,24.21,577.7,48.43,1155.5,folded_half
toshima6-8,8,HEIF画像 2.heic,0.889,23.71,21.0,404.6,41.99,809.2,folded_half
toshima6-8,9,HEIF画像 13.heic,0.87,32.34,26.08,671.5,52.15,1343.1,folded_half
toshima6-8,10,HEIF画像 10.heic,0.819,31.16,34.04,766.7,68.07,1533.4,folded_half
toshima6-8,11,HEIF画像 11.heic,0.888,32.68,29.13,721.2,58.25,1442.4,folded_half
toshima6-8,12,HEIF画像 8.heic,0.505,58.59,34.46,1678.7,68.92,3357.4,folded_half
toshima6-8,13,HEIF画像 7.heic,0.811,32.51,26.08,714.8,52.15,1429.6,folded_half
toshima6-8,14,HEIF画像 15.heic,0.88,35.98,26.92,826.0,53.85,1652.0,folded_half
toshima6-8,15,HEIF画像 14.heic,0.875,28.87,22.18,487.4,44.37,974.9,folded_half
