sheet,corolla_id,fold_state,corolla_length_mm,corolla_width_fulleq_mm,throat_width_mm,mouth_width_mm,corolla_aspect_L_W,tube_flare_W_throat,lobe_incision_mm,lobe_incision_ratio,organ_corolla_ratio
oshima13-15,8,folded_half,41.99,57.24,33.61,56.05,0.73,1.7,5.62,0.13,0.68
oshima13-15,9,folded_half,42.08,64.34,38.69,63.16,0.65,1.66,4.52,0.11,0.67
oshima13-15,10,folded_half,47.92,55.04,33.95,52.32,0.87,1.62,6.52,0.14,0.51
oshima13-15,11,folded_half,48.68,62.32,34.88,60.03,0.78,1.79,6.94,0.14,0.55
oshima13-15,12,folded_half,44.11,61.46,32.34,61.89,0.72,1.9,6.08,0.14,0.55
oshima13-15,13,folded_half,42.5,59.44,31.5,56.9,0.72,1.89,5.23,0.12,0.65
oshima4,1,folded_half,44.79,63.5,39.71,63.33,0.71,1.6,5.25,0.12,0.59
oshima4,2,folded_half,34.37,56.04,32.43,53.85,0.61,1.73,5.62,0.16,0.64
oshima4,3,folded_half,34.63,54.52,29.8,49.45,0.64,1.83,5.7,0.16,0.67
oshima4,4,folded_half,44.96,64.0,33.53,60.11,0.7,1.91,5.93,0.13,0.46
oshima4,5,folded_half,38.61,67.22,40.3,67.06,0.57,1.67,3.13,0.08,0.57
oshima4,6,folded_half,33.53,50.8,32.0,46.74,0.66,1.59,5.5,0.16,0.67
oshima4,7,folded_half,37.34,61.98,35.22,58.25,0.6,1.76,4.23,0.11,0.59
oshima4,8a,folded_half,31.85,61.7,40.98,57.49,0.52,1.51,7.37,0.23,0.65
oshima4,8b,folded_half,34.43,60.94,25.57,57.57,0.56,2.38,4.06,0.12,0.64
oshima5,1,folded_half,31.75,51.98,29.46,53.93,0.61,1.76,2.83,0.09,0.75
oshima5,2,folded_half,31.83,47.92,30.14,47.75,0.66,1.59,3.64,0.11,0.69
oshima5,3,folded_half,31.07,44.7,25.06,42.5,0.7,1.78,4.44,0.14,0.81
oshima5,4,folded_half,33.44,54.02,40.47,50.29,0.62,1.33,3.75,0.11,0.63
oshima5,5,folded_half,32.6,57.4,31.16,53.0,0.57,1.84,4.07,0.12,0.76
oshima6,1,folded_half,34.88,54.52,26.25,52.15,0.64,2.08,4.4,0.13,0.66
oshima6,2,folded_half,31.33,46.22,27.43,43.69,0.68,1.68,4.57,0.15,0.68
oshima6,3,folded_half,33.61,51.14,26.08,48.26,0.66,1.96,5.33,0.16,0.68
oshima6,4,folded_half,31.41,48.26,29.13,46.4,0.65,1.66,4.83,0.15,0.65
oshima6,5,folded_half,30.23,43.68,25.48,41.15,0.69,1.71,4.49,0.15,0.76
oshima6,6,folded_half,29.38,48.6,25.74,46.65,0.6,1.89,4.57,0.16,0.62
oshima7,1,folded_half,27.35,49.28,28.53,44.53,0.55,1.73,4.61,0.17,0.86
oshima7,2,folded_half,28.53,47.24,33.1,45.21,0.6,1.43,4.35,0.15,0.74
oshima7,3,folded_half,26.75,49.44,23.37,50.12,0.54,2.12,2.96,0.11,0.61
oshima7,4,folded_half,27.6,50.96,27.94,52.32,0.54,1.82,3.47,0.13,0.48
oshima7,5,folded_half,27.6,53.84,25.57,52.83,0.51,2.11,4.83,0.17,0.68
oshima7,6,folded_half,32.43,51.14,32.51,47.75,0.63,1.57,4.66,0.14,0.61
oshima8,1,folded_half,28.45,41.14,27.09,39.29,0.69,1.52,3.47,0.12,0.72
oshima8,2,folded_half,32.85,50.8,32.85,49.61,0.65,1.55,2.62,0.08,0.64
oshima8,3,folded_half,35.9,48.76,30.14,49.95,0.74,1.62,3.89,0.11,0.6
oshima8,4,folded_half,29.97,43.18,28.28,43.35,0.69,1.53,0.0,0.0,0.71
oshima8,5,folded_half,39.37,55.88,41.06,55.2,0.7,1.36,4.02,0.1,0.6
oshima8,6,folded_half,36.07,47.24,30.65,45.04,0.76,1.54,4.77,0.13,0.72
oshima8,7,folded_half,36.37,57.4,34.37,53.17,0.63,1.67,4.06,0.11,0.65
oshima8,8,folded_half,40.13,56.56,37.34,54.69,0.71,1.51,4.82,0.12,0.52
oshima8-9,1,folded_half,30.31,39.8,28.28,37.93,0.76,1.41,2.84,0.09,0.76
oshima8-9,2,folded_half,33.61,43.02,26.33,41.15,0.78,1.63,4.13,0.12,0.64
oshima8-9,3,folded_half,32.09,45.04,34.46,42.5,0.71,1.31,3.56,0.11,
oshima8-9,4,folded_half,33.78,56.56,33.36,56.22,0.6,1.7,2.79,0.08,0.67
oshima8-9,5,folded_half,28.79,41.14,28.28,40.81,0.7,1.45,5.16,0.18,0.68
oshima8-9,6,folded_half,33.78,46.56,35.64,46.4,0.73,1.31,3.13,0.09,0.6
oshima8-9,7,folded_half,31.75,45.88,27.94,49.11,0.69,1.64,4.32,0.14,0.59
oshima8-9,8,folded_half,30.56,50.3,29.97,44.11,0.61,1.68,5.53,0.18,0.66
oshima8-9,9,folded_half,42.5,53.0,32.17,52.15,0.8,1.65,6.18,0.15,0.54
oshima8-9,10,folded_half,34.21,58.42,36.41,55.03,0.59,1.6,3.64,0.11,0.56
oshima8-9,11,folded_half,33.44,53.34,38.86,47.92,0.63,1.37,5.25,0.16,0.52
oshima8-9,12,folded_half,42.16,56.56,36.41,56.22,0.75,1.55,3.81,0.09,0.5
oshima8-9,13,folded_half,43.86,58.92,33.95,56.22,0.74,1.74,3.64,0.08,0.52
oshima8-9,14,folded_half,38.35,43.68,32.51,42.67,0.88,1.34,3.64,0.09,0.57
shikine1,1,opened_full,19.84,32.55,19.47,16.51,0.61,1.67,6.64,0.33,
shikine1,2,folded_half,26.84,41.14,28.96,39.62,0.65,1.42,5.68,0.21,0.6
shikine1,3,folded_half,23.71,39.12,23.88,37.25,0.61,1.64,3.3,0.14,
shikine1,4,opened_full,22.97,40.9,27.69,40.13,0.56,1.48,4.23,0.18,0.6
shikine1,5,opened_full,26.5,40.13,24.47,33.27,0.66,1.64,6.01,0.23,0.63
shikine1,6,opened_full,43.1,55.71,32.85,45.47,0.77,1.7,10.06,0.23,0.42
