island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Niijima,niijima2,1,,212.0,1041.33,0.0215,0.1655,oxidized_recovered,0.0,-2.333,0.0,,,
Niijima,niijima2,1,,326.0,1041.5,0.0143,0.1351,oxidized_recovered,0.0,1.5,1.5,,,
Niijima,niijima2,1,,319.0,1042.0,0.0215,0.1655,oxidized_recovered,0.0,4.0,3.0,,,
Niijima,niijima2,1,,187.0,1042.5,0.0143,0.1351,oxidized_recovered,0.0,6.5,6.5,,,
Niijima,niijima2,1,,215.0,1043.5,0.0143,0.1351,oxidized_recovered,0.0,5.0,5.0,,,
Niijima,niijima2,1,,307.5,1043.5,0.0143,0.1351,oxidized_recovered,0.0,-10.0,-10.0,,,
Niijima,niijima2,1,,310.0,1044.5,0.0287,0.1911,oxidized_recovered,0.0,0.75,1.0,,,
Niijima,niijima2,1,,188.5,1045.5,0.0143,0.1351,oxidized_recovered,0.0,12.0,12.0,,,
Niijima,niijima2,1,,229.5,1045.5,0.0143,0.1351,oxidized_recovered,0.0,10.0,10.0,,,
Niijima,niijima2,1,,264.62,1047.62,0.0573,0.2702,oxidized_recovered,0.0,7.875,9.0,,,
Niijima,niijima2,1,,274.0,1049.0,0.0287,0.1911,oxidized_recovered,0.0,0.75,2.0,,,
Niijima,niijima2,1,,315.5,1050.5,0.0143,0.1351,oxidized_recovered,0.0,2.5,2.5,,,
Niijima,niijima2,1,,271.5,1052.0,0.0143,0.1351,oxidized_recovered,0.0,0.0,0.0,,,
Niijima,niijima2,1,,302.0,1052.71,0.0502,0.2528,oxidized_recovered,0.0,0.857,1.0,,,
Niijima,niijima2,1,,264.0,1054.5,0.0143,0.1351,oxidized_recovered,0.0,11.5,11.5,,,
Niijima,niijima2,1,,324.09,1055.78,0.6667,0.9213,oxidized_recovered,0.0,-7.989,-7.0,,,
Niijima,niijima2,1,,301.79,1056.57,0.1004,0.3575,oxidized_recovered,0.0,-2.143,-1.5,,,
Niijima,niijima2,1,,314.1,1056.9,0.0717,0.3021,oxidized_recovered,0.0,-7.5,-5.5,,,
Niijima,niijima2,1,,236.25,1058.75,0.0287,0.1911,oxidized_recovered,0.0,8.0,8.0,,,
Niijima,niijima2,1,,307.5,1059.4,0.0717,0.3021,oxidized_recovered,0.0,-3.3,-3.5,,,
Niijima,niijima2,1,,230.5,1059.5,0.0143,0.1351,oxidized_recovered,0.0,10.0,10.0,,,
Niijima,niijima2,1,,254.0,1059.64,0.0789,0.3169,oxidized_recovered,0.0,-2.455,-1.0,,,
